GEOID,LST,NDVI,NDBI,z_score,cluster_type
04013103400,58.05270231970678,0.1752812058834661,-0.010177003722664635,0.7467510307383779,0
04013103900,57.606302415271564,0.17504972615143305,-0.02282398252935362,0.5163810987683515,0
04013104600,57.52473093258613,0.15313893265430017,0.036043065810371894,0.4742851737239398,0
04013105200,57.698757235135915,0.1586801233870566,0.033638588784623266,0.5640934982353688,0
04013105300,55.225027823359845,0.24714054318977635,-0.07273976878584879,-0.7125037201804956,0
04013106300,55.60610770655436,0.22546856625498382,-0.06711051398614651,-0.515842955035985,0
04013106400,55.012873905891894,0.19709903751436578,-0.042853998114157646,-0.8219882497439628,0
04013107800,51.70371435479089,0.2841265165200128,-0.08070715025372632,-2.52971903796982,1
04013107900,52.377577827794426,0.23922253022788034,-0.031848880472396694,-2.181963850545852,1
04013108000,52.38313440535599,0.3594428927355246,-0.10634094809016915,-2.1790963132051733,1
04013108100,53.07664509713167,0.3297023112102719,-0.10691269341498562,-1.8212019469709748,1
04013108200,55.60552518990789,0.24622102563816647,-0.06911404714825359,-0.5161435696169615,0
04013109500,55.829677985257476,0.2644219501333044,-0.053232695192124445,-0.4004668777034446,0
04013109900,57.72509855120203,0.19378328023809732,-0.024551577222894763,0.5776872448510398,0
04013110100,58.186350143331055,0.11524535178020599,0.0034661566398611265,0.8157215652980103,0
04013110600,54.28117354249742,0.29563662159446064,-0.08176925071833413,-1.199590846121961,0
04013111100,53.14831996922878,0.34536536796646633,-0.11143041264825573,-1.7842132844624943,1
04013111900,52.49318857689791,0.34507806368932875,-0.08196386836935118,-2.1223015608783196,1
04013113800,58.282073601764914,0.07640998515636442,0.03264063061819949,0.865120784223121,0
04013114800,58.70917508880668,0.11785373873047386,0.03155503088944513,1.0855315404453767,0
04013115200,57.19211606009462,0.09933963374505878,0.005124489516240277,0.30263534856317215,0
04013115400,58.29586786025343,0.14004956103013333,0.017229584675477624,0.8722394738957746,0
04013116900,57.66047799341662,0.08266061684845843,0.010988178175187671,0.5443390443855298,0
04013117000,58.22210786527159,0.1596349710435105,-0.011781575519496563,0.8341747591472922,0
04013117100,56.311553730615145,0.20489879545271794,-0.02218784969200965,-0.15178921990577815,0
04013117300,57.52784998923278,0.12175803208461239,0.04111899381376559,0.47589479966776177,0
04013217300,53.42896244554326,0.2604480020055566,-0.08909267886941816,-1.639384426897518,1
04013217400,56.45678596518823,0.18576457111727165,-0.036111519633243716,-0.07684041354170293,0
04013217600,52.71423087865601,0.22463302255181342,-0.061110731310994426,-2.0082300758430844,1
04013217900,54.26403778928138,0.19400021145414273,-0.0419618340584304,-1.208433953531736,0
04013218200,54.96254550378305,0.1824283314029295,-0.034971750672936175,-0.8479608148246921,0
04013218300,55.17641089161108,0.1511326141393153,-0.014211382707495427,-0.7375930608104518,0
